Season,LookupKey,Rk,Player,PlayerID,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1617,1617Diamond Stone,395,Diamond Stone,stonedi01,C,19,LAC,7,24,-1.2,0.339,0,0.308,4.8,22.4,13.8,0,0,3.3,11.9,31.1,-0.1,0,-0.1,-0.205,-17.1,-6.9,-23.9,-0.1,0,24,3,13,0.231,0,0,0,3,13,0.231,0.231,4,4,1,1,5,6,0,0,1,2,5,10
1617,1617Rodney Stuckey,396,Rodney Stuckey,stuckro01,PG,30,IND,25,465,12.2,0.542,0.224,0.485,1,12.1,6.6,16,1.1,0,14.5,22.5,0.1,0.3,0.4,0.04,-2.3,-2.5,-4.8,-0.3,0,465,72,165,0.436,12,37,0.324,60,128,0.469,0.473,61,80,0.763,4,51,55,49,10,0,34,35,217
1617,1617Jared Sullinger,397,Jared Sullinger,sullija01,PF,24,TOR,11,118,5.6,0.359,0.375,0.167,9.5,16.4,12.9,3.7,1.7,0.7,7.2,20.9,-0.2,0.1,-0.1,-0.046,-5.1,-2.9,-8,-0.2,1,118,15,48,0.313,3,18,0.167,12,30,0.4,0.344,4,8,0.5,10,17,27,3,4,1,4,17,37
1617,1617Walter Tavares,398,Walter Tavares,tavarwa01,C,24,ATL,1,4,13.2,0.532,0,2,0,27.2,13.8,0,0,0,0,20.6,0,0,0,-0.048,-8,-7.1,-15.1,0,0,4,1,1,1,0,0,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,2
1617,1617Jeff Teague,399,Jeff Teague,teaguje01,PG,28,IND,57,1856,19.6,0.576,0.252,0.471,1.5,12.6,7.2,37.8,2.1,1.2,17.3,22.2,3.8,1.7,5.6,0.144,2.4,-0.3,2.1,1.9,57,1856,284,631,0.45,56,159,0.352,228,472,0.483,0.494,253,297,0.852,25,212,237,462,80,26,159,121,877
1617,1617Mirza Teletovic,400,Mirza Teletovic,teletmi01,PF,31,MIL,46,751,9.3,0.53,0.742,0.127,1.6,15.1,8.5,6.7,0.5,1.2,9.9,19.9,0,0.4,0.4,0.024,-0.9,-3.6,-4.5,-0.5,2,751,108,283,0.382,73,210,0.348,35,73,0.479,0.511,28,36,0.778,10,101,111,34,7,10,33,73,317
1617,1617Garrett Temple,401,Garrett Temple,templga01,SG,30,SAC,49,1301,11.2,0.561,0.515,0.202,2.4,9.3,5.9,12.8,2.3,1.6,13,13.3,1.1,1,2,0.074,-0.2,0.3,0.2,0.7,15,1301,134,307,0.436,58,158,0.367,76,149,0.51,0.531,49,62,0.79,27,104,131,111,58,22,50,108,375
1617,1617Jason Terry,402,Jason Terry,terryja01,SG,39,MIL,47,804,8.5,0.575,0.729,0.114,1.5,6.3,3.9,10.8,1.6,1.5,12.5,9.4,0.7,0.4,1.1,0.065,-0.6,-1,-1.6,0.1,0,804,57,140,0.407,42,102,0.412,15,38,0.395,0.557,13,16,0.813,10,45,55,65,26,14,21,60,169
1617,1617Isaiah Thomas,403,Isaiah Thomas,thomais02,PG,27,BOS,53,1830,27.5,0.629,0.423,0.444,1.8,6.9,4.4,33.8,1.1,0.2,10,34.2,8.7,0.8,9.5,0.248,9.5,-3.9,5.7,3.5,53,1830,492,1053,0.467,172,445,0.387,320,608,0.526,0.549,427,468,0.912,29,113,142,333,41,5,140,115,1583
1617,1617Lance Thomas,404,Lance Thomas,thomala01,PF,28,NYK,32,558,6.4,0.486,0.34,0.146,3.1,9,6,4.2,1.2,0.4,9.5,13,0,0.2,0.2,0.016,-3,-1.9,-4.8,-0.4,6,558,55,144,0.382,21,49,0.429,34,95,0.358,0.455,18,21,0.857,16,47,63,17,14,3,16,57,149
1617,1617Hollis Thompson,405,Hollis Thompson,thompho01,SG,25,PHI,31,561,9,0.51,0.447,0.126,2.9,13.4,8.1,7.1,1.2,0.9,5.1,13.7,0.3,0.5,0.7,0.062,-2.3,-0.6,-2.8,-0.1,1,561,66,159,0.415,26,71,0.366,40,88,0.455,0.497,13,20,0.65,15,68,83,26,14,6,9,55,171
1617,1617Klay Thompson,406,Klay Thompson,thompkl01,SG,26,GSW,54,1844,17,0.597,0.462,0.162,2.4,9.4,6.1,9,1.1,1,8.8,25.6,2.7,1.9,4.6,0.121,2.1,-2.2,0,0.9,54,1844,442,933,0.474,182,431,0.422,260,502,0.518,0.571,127,151,0.841,37,169,206,110,44,24,97,102,1193
1617,1617Tristan Thompson,407,Tristan Thompson,thomptr01,C,25,CLE,55,1651,15.5,0.588,0.01,0.524,14.1,21.3,17.8,3.9,0.9,3,10.1,11.3,3.5,2,5.5,0.16,-0.1,1.8,1.7,1.5,55,1651,183,311,0.588,0,3,0,183,308,0.594,0.588,84,163,0.515,206,328,534,46,31,62,43,131,450
1617,1617Marcus Thornton,408,Marcus Thornton,thornma01,SG,29,WAS,33,575,10.5,0.494,0.381,0.129,4.4,10.4,7.5,9.9,1.6,0.4,10.1,18.9,0.1,0.5,0.6,0.05,-1.7,-1.4,-3.2,-0.2,1,575,84,210,0.4,28,80,0.35,56,130,0.431,0.467,23,27,0.852,22,54,76,40,19,3,25,48,219
1617,1617Mike Tobey,409,Mike Tobey,tobeymi01,C,22,CHO,1,11,5.3,0.333,0,0,19.7,9.7,14.7,0,0,0,0,12.1,0,0,0,0.034,-5.8,-5.6,-11.4,0,0,11,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,2,1,3,0,0,0,0,2,2
1617,1617Anthony Tolliver,410,Anthony Tolliver,tollian01,PF,31,SAC,45,1042,11.4,0.606,0.667,0.218,5,14,9.5,6.2,1.4,0.9,12.5,13.2,1.2,0.6,1.8,0.083,0.4,-1,-0.6,0.4,6,1042,109,243,0.449,63,162,0.389,46,81,0.568,0.578,42,53,0.792,45,125,170,43,28,10,38,75,323
1617,1617Karl-Anthony Towns,411,Karl-Anthony Towns,townska01,C,21,MIN,57,2079,24.5,0.595,0.191,0.301,10.8,27.2,18.9,14.3,0.9,3.4,11.6,27.4,5.8,2.1,7.9,0.183,3.7,0.7,4.4,3.4,57,2079,518,1003,0.516,65,192,0.339,453,811,0.559,0.549,250,302,0.828,197,478,675,166,38,82,149,174,1351
1617,1617P.J. Tucker,412,P.J. Tucker,tuckepj01,SF,31,PHO,57,1627,10.8,0.518,0.385,0.218,6.1,17.4,11.6,6.2,2.6,0.7,11.8,11.4,1.1,1.4,2.5,0.073,-0.6,1.6,1,1.2,17,1627,147,353,0.416,46,136,0.338,101,217,0.465,0.482,61,77,0.792,93,248,341,73,86,14,52,143,401
1617,1617Evan Turner,413,Evan Turner,turneev01,SG,28,POR,50,1311,12.2,0.504,0.222,0.184,2.2,14,8,19.5,1.6,1.1,14.2,18.8,0.3,0.7,1,0.036,-2,-0.5,-2.5,-0.2,10,1311,194,446,0.435,28,99,0.283,166,347,0.478,0.466,70,82,0.854,27,164,191,169,42,17,80,91,486
1617,1617Myles Turner,414,Myles Turner,turnemy01,C,20,IND,56,1732,19.2,0.597,0.15,0.385,5.9,20,13,5.9,1.3,5.9,9.9,21,3.1,2.4,5.5,0.151,-0.2,1.9,1.7,1.6,56,1732,324,626,0.518,34,94,0.362,290,532,0.545,0.545,192,241,0.797,89,313,402,64,47,119,80,183,874
1617,1617Beno Udrih,415,Beno Udrih,udrihbe01,PG,34,DET,30,420,15.3,0.527,0.187,0.173,1.3,8.9,5,32.7,0.8,0,12.9,19.7,0.6,0.3,0.9,0.105,-0.5,-2.6,-3.1,-0.1,0,420,68,150,0.453,10,28,0.357,58,122,0.475,0.487,24,26,0.923,5,33,38,91,7,0,24,20,170
1617,1617Tyler Ulis,416,Tyler Ulis,ulisty01,PG,21,PHO,36,324,9.6,0.445,0.15,0.133,3,5.6,4.3,21.4,3,0.3,17,19.9,-0.3,0.2,-0.1,-0.019,-3.8,-1.6,-5.4,-0.3,0,324,47,120,0.392,6,18,0.333,41,102,0.402,0.417,13,16,0.813,9,16,25,46,20,1,26,29,113
1617,1617Jonas Valanciunas,417,Jonas Valanciunas,valanjo01,C,24,TOR,55,1481,19.4,0.589,0,0.305,12.1,29.4,20.7,4.4,0.9,2.3,11.9,19.7,3.3,1.9,5.1,0.166,-0.8,-0.6,-1.4,0.2,55,1481,274,509,0.538,0,0,0,274,509,0.538,0.538,132,155,0.852,161,382,543,41,26,40,78,153,680
